City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,80.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
9,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
13,San Antero,CO,75.34,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
17,Oranjestad,AW,80.13,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
18,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
20,Kapaa,US,75.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Hailar,CN,77.22,scattered clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
23,Antalaha,MG,79.07,light rain,-14.9003,50.2788,Hotel Vitasoa
24,Zhangye,CN,80.31,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
25,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Tuscaloosa,US,76.78,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
30,Korla,CN,88.48,clear sky,41.7597,86.1469,Gulisitan Hotel
31,Cockburn Town,TC,80.15,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
33,Virginia Beach,US,75.25,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
47,Atuona,PF,78.04,clear sky,-9.8,-139.0333,Villa Enata
52,Faya,SA,84.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
54,Banda Aceh,ID,84.92,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
55,Puerto Escondido,MX,78.91,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
62,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
72,Djambala,CG,76.93,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
76,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
79,Heihe,CN,84.78,few clouds,50.2441,127.4902,Hotel Strannik
82,Mahajanga,MG,84.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
84,Merauke,ID,81.5,broken clouds,-8.4667,140.3333,
87,Luganville,VU,77.94,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
96,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
97,Santa Cruz Del Sur,CU,76.59,overcast clouds,20.7147,-77.9956,
101,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
103,Geraldton,AU,79.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
106,Save,BJ,81.05,scattered clouds,8.0425,2.486,Le Cercle du Rail
107,Viransehir,TR,87.6,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
110,Gorontalo,ID,82.92,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
115,Lalibela,ET,75.49,overcast clouds,12.0333,39.0333,Honey Land Hotel Lalibela
129,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
130,Kapit,MY,82.24,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
139,Veraval,IN,89.04,few clouds,20.9,70.3667,Lords Inn Somnath
140,Butaritari,KI,82.29,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
