City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,64.67,91,100,1.99,light rain
1,Bambous Virieux,MU,-20.3428,57.7575,80.22,69,40,6.91,scattered clouds
2,Castro,BR,-24.7911,-50.0119,52.66,94,2,1.41,clear sky
3,Torbay,CA,47.6666,-52.7314,35.58,82,20,10.36,few clouds
4,Mataura,NZ,-46.1927,168.8643,47.48,97,100,2.55,moderate rain
5,Ushuaia,AR,-54.8,-68.3,46.06,61,40,14.97,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,73.49,55,80,8.72,broken clouds
7,Bluff,NZ,-46.6,168.3333,47.8,89,100,7.34,light rain
8,Machiques,VE,10.0644,-72.545,72.37,88,28,3.91,scattered clouds
9,Denpasar,ID,-8.65,115.2167,87.46,74,20,12.66,few clouds
10,Sept-Iles,CA,50.2001,-66.3821,53.06,55,75,14.97,broken clouds
11,Khatanga,RU,71.9667,102.5,63.61,47,3,20.8,clear sky
12,Presidente Medici,BR,-11.1753,-61.9014,69.91,88,99,2.75,overcast clouds
13,San Antero,CO,9.3741,-75.7589,75.34,89,100,3.0,overcast clouds
14,Provideniya,RU,64.3833,-173.3,46.2,64,71,1.05,broken clouds
15,Sovetskiy,RU,61.3614,63.5842,65.44,31,98,15.19,overcast clouds
16,Paita,PE,-5.0892,-81.1144,64.04,83,66,10.0,broken clouds
17,Oranjestad,AW,12.524,-70.027,80.13,84,14,23.33,few clouds
18,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,14.97,scattered clouds
19,Constitucion,CL,-35.3333,-72.4167,51.94,89,1,2.77,clear sky
20,Kapaa,US,22.0752,-159.319,75.47,85,40,10.36,scattered clouds
21,Hailar,CN,49.2,119.7,77.22,20,50,4.12,scattered clouds
22,Agadez,NE,19.75,10.25,92.05,14,0,13.71,clear sky
23,Antalaha,MG,-14.9003,50.2788,79.07,66,71,12.17,light rain
24,Zhangye,CN,38.9342,100.4517,80.31,13,100,8.61,overcast clouds
25,Hilo,US,19.7297,-155.09,81.28,89,75,3.0,broken clouds
26,Esperance,AU,-33.8667,121.9,60.31,55,83,11.41,broken clouds
27,Naze,JP,28.3667,129.4833,74.32,78,100,8.97,moderate rain
28,Tuscaloosa,US,33.2098,-87.5692,76.78,92,0,6.91,clear sky
29,Arraial Do Cabo,BR,-22.9661,-42.0278,69.89,80,12,1.25,few clouds
30,Korla,CN,41.7597,86.1469,88.48,14,0,7.31,clear sky
31,Cockburn Town,TC,21.4612,-71.1419,80.15,85,100,19.73,overcast clouds
32,Busselton,AU,-33.65,115.3333,66.54,46,59,19.22,broken clouds
33,Virginia Beach,US,36.8529,-75.978,75.25,90,75,10.36,broken clouds
34,Port Alfred,ZA,-33.5906,26.891,70.23,39,0,7.52,clear sky
35,Codrington,AU,-38.2667,141.9667,52.21,75,100,15.64,overcast clouds
36,Chokurdakh,RU,70.6333,147.9167,49.82,41,6,14.09,clear sky
37,Hermanus,ZA,-34.4187,19.2345,66.15,47,3,7.47,clear sky
38,Lavrentiya,RU,65.5833,-171.0,41.68,64,11,7.72,few clouds
39,Jamestown,US,42.097,-79.2353,54.18,74,40,5.75,scattered clouds
40,Kaeo,NZ,-35.1,173.7833,56.32,94,100,5.5,heavy intensity rain
41,Farah,AF,32.5,62.5,97.09,4,0,8.37,clear sky
42,Nikolskoye,RU,59.7035,30.7861,69.87,32,100,9.37,overcast clouds
43,Aklavik,CA,68.2191,-135.0107,33.42,95,100,13.2,overcast clouds
44,Northam,GB,51.0333,-4.2167,59.4,91,17,18.07,few clouds
45,New Norfolk,AU,-42.7826,147.0587,49.5,80,100,4.0,overcast clouds
46,Yulara,AU,-25.2406,130.9889,59.34,34,6,12.73,clear sky
47,Atuona,PF,-9.8,-139.0333,78.04,74,10,15.43,clear sky
48,Pacific Grove,US,36.6177,-121.9166,57.24,79,0,1.99,clear sky
49,Jacareacanga,BR,-6.2222,-57.7528,71.04,99,86,0.54,overcast clouds
50,Tessalit,ML,20.1986,1.0114,93.02,19,16,2.44,few clouds
51,Chauk,MM,20.8833,94.8167,92.39,48,99,15.79,overcast clouds
52,Faya,SA,18.3851,42.4509,84.72,9,7,11.3,clear sky
53,Turinsk,RU,58.0458,63.696,69.17,59,67,10.92,light rain
54,Banda Aceh,ID,5.5577,95.3222,84.92,70,100,6.96,overcast clouds
55,Puerto Escondido,MX,15.85,-97.0667,78.91,82,75,4.56,broken clouds
56,Agirish,RU,61.9247,63.0231,68.4,24,93,14.54,overcast clouds
57,Severo-Kurilsk,RU,50.6789,156.125,44.2,76,91,10.2,overcast clouds
58,Islamkot,PK,24.6997,70.177,103.64,23,0,24.45,clear sky
59,Puerto Ayora,EC,-0.7393,-90.3518,66.54,99,75,7.11,broken clouds
60,Ardatov,RU,55.2421,43.097,58.06,58,98,12.03,overcast clouds
61,Yeppoon,AU,-23.1333,150.7333,64.18,52,26,9.69,scattered clouds
62,Saint George,US,37.1041,-113.5841,82.99,22,0,4.0,clear sky
63,Port Hardy,CA,50.6996,-127.4199,51.8,100,75,4.61,broken clouds
64,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,3,3.27,clear sky
65,Hobart,AU,-42.8794,147.3294,49.86,73,75,11.5,broken clouds
66,Yellowknife,CA,62.456,-114.3525,59.56,72,20,4.61,few clouds
67,Tuktoyaktuk,CA,69.4541,-133.0374,30.52,89,13,12.21,few clouds
68,Hadejia,NG,12.4498,10.0444,91.51,26,61,11.45,broken clouds
69,Great Yarmouth,GB,52.6083,1.7305,59.45,96,100,12.82,overcast clouds
70,Lebu,CL,-37.6167,-73.65,49.95,89,32,3.11,scattered clouds
71,Tiksi,RU,71.6872,128.8694,42.96,69,41,3.89,scattered clouds
72,Djambala,CG,-2.5447,14.7533,76.93,58,100,8.16,overcast clouds
73,East London,ZA,-33.0153,27.9116,63.54,63,0,6.91,clear sky
74,Alakurtti,RU,66.9672,30.3491,61.74,31,89,9.64,overcast clouds
75,Fortuna,US,40.5982,-124.1573,55.9,91,100,0.0,overcast clouds
76,Cape Town,ZA,-33.9258,18.4232,75.11,45,0,11.5,clear sky
77,Vaini,TO,-21.2,-175.2,73.56,78,20,5.75,few clouds
78,Raudeberg,NO,61.9875,5.1352,54.86,80,100,17.11,overcast clouds
79,Heihe,CN,50.2441,127.4902,84.78,38,18,10.71,few clouds
80,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,12.66,broken clouds
81,Margate,GB,51.3813,1.3862,59.88,95,100,4.0,overcast clouds
82,Mahajanga,MG,-15.7167,46.3167,84.22,42,20,10.36,few clouds
83,Qaanaaq,GL,77.484,-69.3632,27.75,94,100,2.48,overcast clouds
84,Merauke,ID,-8.4667,140.3333,81.5,81,71,14.34,broken clouds
85,Eureka,US,40.8021,-124.1637,56.68,82,100,1.63,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,71.62,64,84,22.75,light rain
87,Luganville,VU,-15.5333,167.1667,77.94,73,95,6.69,overcast clouds
88,Vyartsilya,RU,62.1764,30.693,68.32,34,55,9.6,broken clouds
89,Fairbanks,US,64.8378,-147.7164,62.94,47,0,11.5,clear sky
90,Paso De Patria,AR,-27.2454,-58.5454,59.07,69,100,3.18,overcast clouds
91,Mildura,AU,-34.2,142.15,51.08,69,75,9.04,broken clouds
92,Pisco,PE,-13.7,-76.2167,56.01,88,20,4.61,mist
93,Vardo,NO,70.3705,31.1107,48.18,76,40,10.36,scattered clouds
94,Ola,RU,59.5833,151.2833,59.14,81,88,7.09,overcast clouds
95,Guerrero Negro,MX,27.9769,-114.0611,61.54,91,100,10.54,overcast clouds
96,Georgetown,MY,5.4112,100.3354,89.55,66,20,11.5,few clouds
97,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.59,87,97,7.02,overcast clouds
98,Dikson,RU,73.5069,80.5464,31.32,88,11,5.14,few clouds
99,Barrow,US,71.2906,-156.7887,26.62,80,100,10.36,overcast clouds
100,Praia,CV,14.9215,-23.5087,70.34,78,20,4.61,few clouds
101,Hithadhoo,MV,-0.6,73.0833,83.21,67,100,4.92,overcast clouds
102,Palana,RU,59.1167,159.9667,46.4,75,100,6.91,overcast clouds
103,Geraldton,AU,-28.7667,114.6,79.21,44,100,12.66,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,66.6,88,75,8.05,broken clouds
105,Kisesa,TZ,-3.0833,34.15,74.84,46,42,10.69,scattered clouds
106,Save,BJ,8.0425,2.486,81.05,70,32,4.16,scattered clouds
107,Viransehir,TR,37.2353,39.7631,87.6,29,0,10.69,clear sky
108,Bafra,TR,41.5678,35.9069,72.77,70,69,4.56,broken clouds
109,Clyde River,CA,70.4692,-68.5914,34.03,93,100,6.91,overcast clouds
110,Gorontalo,ID,0.5412,123.0595,82.92,83,100,2.66,overcast clouds
111,Cayeli,TR,41.0923,40.7292,72.01,81,93,5.32,overcast clouds
112,Ponta Delgada,PT,37.7333,-25.6667,68.5,88,75,13.8,broken clouds
113,Maniitsoq,GL,65.4167,-52.9,38.97,65,13,4.85,few clouds
114,Krasnoselkup,RU,65.7,82.4667,57.33,30,1,13.73,clear sky
115,Lalibela,ET,12.0333,39.0333,75.49,19,100,3.22,overcast clouds
116,Avarua,CK,-21.2078,-159.775,69.85,100,20,2.3,few clouds
117,Lompoc,US,34.6391,-120.4579,54.59,91,0,0.0,clear sky
118,Luderitz,NA,-26.6481,15.1594,73.35,29,0,13.22,clear sky
119,Hofn,IS,64.2539,-15.2082,49.66,76,100,5.84,overcast clouds
120,Westport,US,41.1415,-73.3579,68.32,94,100,16.11,light rain
121,Thompson,CA,55.7435,-97.8558,48.36,76,75,4.61,broken clouds
122,Rocha,UY,-34.4833,-54.3333,48.61,94,6,4.68,clear sky
123,Cherskiy,RU,68.75,161.3,51.53,68,100,3.53,overcast clouds
124,Ovre Ardal,NO,61.3167,7.8,58.08,68,100,1.81,light rain
125,Sisimiut,GL,66.9395,-53.6735,38.19,66,14,3.31,few clouds
126,Cabo San Lucas,MX,22.8909,-109.9124,71.64,77,2,13.02,clear sky
127,Narsaq,GL,60.9167,-46.05,44.82,71,100,0.67,overcast clouds
128,Puerto Madero,MX,14.7208,-92.4215,73.6,100,75,0.0,broken clouds
